ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
307,Vestergaard,Leicester,58,Defender,4.0,0.0,0,Southampton (A),0.022,0.019,0.041,0.112,0.029
308,Ward,Leicester,244,Goalkeeper,4.0,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
309,Winks,Leicester,241,Midfielder,4.5,2.45,68,Southampton (A),0.047,0.04,0.085,0.234,0.06
310,A.Becker,Liverpool,30,Goalkeeper,5.5,0.82,22,Chelsea (H),0.0,0.0,0.0,0.0,0.0
311,Alexander-Arnold,Liverpool,241,Defender,7.1,4.86,87,Chelsea (H),0.087,0.201,0.27,0.288,0.097
314,Carvalho,Brentford,173,Midfielder,4.8,1.51,30,Man Utd (A),0.013,0.012,0.025,0.043,0.017
316,Darwin,Liverpool,230,Forward,7.1,2.08,28,Chelsea (H),0.046,0.029,0.074,0.038,0.062
317,Diogo J.,Liverpool,173,Midfielder,7.4,4.59,62,Chelsea (H),0.331,0.174,0.447,0.288,0.42
319,Elliott,Liverpool,241,Midfielder,5.2,0.12,4,Chelsea (H),0.007,0.008,0.015,0.012,0.009
321,Gakpo,Liverpool,152,Forward,7.1,2.18,33,Chelsea (H),0.04,0.025,0.064,0.042,0.05
323,Gravenberch,Liverpool,152,Midfielder,5.0,3.52,90,Chelsea (H),0.102,0.109,0.2,0.288,0.113
324,Jones,Liverpool,241,Midfielder,5.3,0.09,6,Chelsea (H),0.0,0.0,0.0,0.0,0.0
325,Kelleher,Liverpool,104,Goalkeeper,4.4,3.19,68,Chelsea (H),0.0,0.0,0.0,0.288,0.0
326,Konaté,Liverpool,73,Defender,5.2,3.44,90,Chelsea (H),0.067,0.062,0.124,0.288,0.075
327,Luis Díaz,Liverpool,48,Midfielder,8.1,3.98,57,Chelsea (H),0.29,0.163,0.406,0.288,0.369
328,M.Salah,Liverpool,63,Midfielder,12.7,8.26,89,Chelsea (H),0.378,0.267,0.544,0.288,0.524
329,Mac Allister,Liverpool,10,Midfielder,6.3,3.38,84,Chelsea (H),0.124,0.145,0.251,0.288,0.141
333,Quansah,Liverpool,241,Defender,4.1,0.0,0,Chelsea (H),0.033,0.029,0.061,0.173,0.043
335,Robertson,Liverpool,243,Defender,6.0,4.13,68,Chelsea (H),0.067,0.163,0.219,0.288,0.075
336,Szoboszlai,Liverpool,98,Midfielder,6.5,4.24,81,Chelsea (H),0.158,0.188,0.317,0.288,0.185
338,Van den Berg,Brentford,152,Defender,4.0,2.46,75,Man Utd (A),0.042,0.036,0.076,0.134,0.054
